tid,toi,tfopwg_disp,st_tmag,pl_orbper,pl_trandep
322270620,1083.01,PC,12.0936,12.9802953,2407.2608671
380589029,1084.01,KP,12.2851,1.3484961,18463.7636682
381979901,1085.01,APC,11.6577,3.2541181,13620.0
468148930,1086.01,PC,12.2303,3.7178828,4864.8405125
426077080,1087.01,FP,9.4142,9.30992,2220.0
343648136,1088.01,FA,10.4613,1.15395,1550.0
129319156,1089.01,FP,10.3918,4.73703,2410.0
29344935,109.01,KP,13.2366,2.76676,14947.4387827
361034196,1090.01,FP,10.0196,2.19296,4933.74
193413306,1091.01,PC,9.3529,1.725841,2710.0
387079085,1092.01,FP,9.0039,1.1923,3730.0
382331352,1093.01,FP,10.0067,11.47606,3050.0
136274063,1094.01,APC,9.9806,0.5971314,910.0
375223080,1095.01,PC,10.4291,1.4821386,2102.6568299
375225453,1096.01,FP,10.11,0.9209526,360.8801529
360630575,1097.01,CP,8.7215,9.188506,460.0
360630575,1097.02,CP,8.7215,13.9028391,647.2701039
383390264,1098.01,CP,8.7581,10.1826983,667.4752458
290348383,1099.01,CP,7.3661,6.441006,914.0
281459670,110.01,KP,11.6714,3.1743504,15457.3247576
318608749,1100.01,FP,10.5135,20.0731588,1152.9645461
271581073,1101.01,FP,10.5891,2.66903,3110.0
311890977,1102.01,FP,10.5652,6.63371,1555.34
351603103,1103.01,PC,10.5598,2.94308,4490.0
451599528,1104.01,FP,7.5622,341.2791676,8583.5584652
274151135,1105.01,PC,10.2809,10.8680523,1553.0
384513078,1106.01,PC,10.0717,11.1149,900.0
394561119,1107.01,CP,10.0068,4.0782392,6046.6959687
295599256,1108.01,FP,9.941,7.14386,11146.4
50309953,1109.01,FP,9.7906,7.04083,1580.0
355703913,111.01,KP,13.183,2.1061569,12142.2238514
446549905,1110.01,FP,9.6789,2.4545635,4248.0
412014494,1111.01,FP,9.3871,11.4756978,8341.0
369864738,1112.01,FP,9.5162,2.78186,490.0
290348382,1113.01,FP,9.66865,6.4410082,7076.0
409934330,1114.01,APC,8.1129,2.4887726,4852.0
379286801,1115.01,APC,10.526,4.45199,8483.38
304100538,1116.01,PC,9.5268,5.0100708,409.4812214
295541511,1117.01,PC,10.4055,2.2281625,630.0
90919952,1118.01,FP,10.5084,4.13812,5560.0
261369656,1119.01,APC,10.5024,10.95663,3830.0
388104525,112.01,KP,11.6035,2.4997996,14621.2059647
143257766,1120.01,FP,10.4063,1.66226,6030.0
24094603,1121.01,FP,11.0605,4.07611,1454.18
304774444,1122.01,FP,10.2934,3.6245513,1299.0
469782185,1123.01,APC,10.2398,1.20928,11883.8
128790976,1124.01,APC,7.2235,3.5187707,5634.0
278683844,119.01,PC,9.2789,5.5411113,597.3296582
278683844,119.02,PC,9.2789,10.69173,498.5173154
287196418,1190.01,APC,9.80529,3.6950015,7655.0
237185205,1191.01,FP,9.7831,15.7335693,2540.0
158276040,1192.01,APC,10.4999,45.9403293,14807.0
89643259,1193.01,FP,10.4813,2.2219839,4394.0
147950620,1194.01,CP,10.4782,2.3106428,6911.0
24364065,1195.01,FP,10.4717,4.05135,1132.23
69068526,1196.01,PC,10.4318,5.5376617,5390.0
92677094,1197.01,PC,10.4247,4.5960377,5000.0
203189770,1198.01,KP,10.4219,3.612771,11794.0
99869022,1199.01,CP,10.4221,3.6714717,4340.0
394137592,120.01,CP,7.1062,11.535076,2389.90616
288185138,1200.01,FP,10.402,0.8352406,2065.0
29960110,1201.01,CP,10.9473,2.4919771,2093.9594201
327017634,1202.01,FP,8.386,,878.134108
23434737,1203.01,CP,7.9995,25.5195307,558.3758637
467666275,1204.01,PC,8.004,1.3812115,117.7553083
110428269,1138.01,FP,8.90601,0.64971,620.0
202563254,1139.01,PC,8.86193,4.4780798,1054.0
25155310,114.01,KP,10.6103,3.2887898,7005.7247902
320525204,1140.01,FP,8.88797,13.7431084,5688.0
159510109,1141.01,FP,8.8523,16.9487087,156467.5479643
284450803,1142.01,FP,8.64028,3.3686634,3288.0
160268701,1143.01,FP,8.63287,11.2071839,3276.0
28230919,1144.01,KP,8.5077,4.8878037,4279.0
350995812,1145.01,FP,8.5011,2.97164,7350.0
21755546,1146.01,FP,8.40386,0.660179,473.0939303
288391628,1147.01,FP,8.36544,10.9278415,2743.0
349827430,1148.01,KP,7.9179,5.5514888,9493.0
117789567,1149.01,APC,7.9172,2.3202418,5082.9417064
281541555,115.01,KP,13.0417,4.7423709,12650.8110411
16740101,1150.01,KP,7.58204,1.4810903,6788.5145388
69679391,1151.01,KP,7.55216,3.4741012,15748.0
237184773,1152.01,FA,8.0348,6.5011911,4501.3454064
154840461,1153.01,APC,8.40534,6.0360758,987.0
459970307,1154.01,PC,9.3188,21.745537,659.0
161450762,1155.01,FP,9.711,1.32003,552.468
117256577,1156.01,FP,9.7032,1.6865822,1770.0
147576037,1157.01,FP,9.6043,13.0727479,4080.0
379931600,1158.01,FP,9.5967,2.9258727,6720.0
48188920,1159.01,FP,9.5937,0.73774,524.852
238176110,116.01,KP,11.0443,2.7985802,16708.7151957
89510024,1160.01,FP,9.577,2.3664127,300.0
158324245,1161.01,KP,10.2306,1.7635881,6650.0
13419950,1162.01,PC,9.65306,7.3166682,3210.0
375542276,1163.01,PC,9.47751,3.0771612,4703.2844346
16102323,1164.01,FP,9.329701,3.2077145,9640.0
458478250,1165.01,KP,9.76703,2.2552845,20820.0
138361973,1166.01,FP,9.7604,1.8824539,1391.0
232967666,1167.01,FP,10.3874,15.196,1970.0
41330864,1168.01,FP,10.381,2.1358631,10325.0
302518439,1169.01,PC,10.6405,6.7075429,11920.0
322307342,117.01,KP,11.7806,3.5862962,5729.3246858
294176967,1170.01,FP,10.349,1.8296155,1406.0
101929303,1171.01,FP,10.3075,11.1876137,4924.0
1717732429,1172.01,FP,10.3018,7.8513949,22029.0
232967440,1173.01,CP,10.2938,7.0643978,8268.0
154089169,1174.01,CP,10.2549,8.9534775,1136.0
30329585,1175.01,FP,10.2026,7.5022708,1760.0
230088370,1176.01,PC,10.1772,14.0077666,5924.8349672
169177766,1177.01,FP,10.1617,1.692892,1418.0
359496368,1178.01,FP,10.1358,2.6652007,819.0
148914726,1179.01,APC,10.1313,1.2615323,2841.0
266980320,118.01,CP,9.179,6.0344634,1750.6457632
158002130,1180.01,CP,10.112,9.6867516,1669.0
229510866,1181.01,CP,10.079,2.1031647,7142.0
341544930,1182.01,FP,10.0049,7.6416041,6025.0
258777137,1183.01,FP,9.9478,5.9294088,10226.0
233087860,1184.01,CP,9.9469,5.7484439,1041.0
83210867,1185.01,FP,9.94025,1.1967018,824.0
289539327,1186.01,FP,9.92402,11.2464616,7576.0
372757221,1187.01,PC,9.9002,2.5941968,907.0
15247229,1188.01,FP,9.886581,8.5112,4172.76
112026224,1189.01,PC,9.8744,3.9687994,1760.0
294781547,1218.01,PC,10.3869,13.7739339,338.2166234
294981566,1219.01,PC,10.1207,1.9142544,248.0
231702397,122.01,CP,13.084,5.0780325,5923.1283069
319259194,1220.01,APC,9.5298,70.3607265,1353.9678246
349095149,1221.01,CP,10.0564,91.6827832,713.2183569
374997123,1222.01,PC,10.3014,10.1944993,317.3261147
382437043,1223.01,FP,9.3109,14.64319,242.7923919
299798795,1224.01,CP,11.556,4.1782656,2537.6781602
299798795,1224.02,CP,11.556,17.9453645,5480.684864
150428703,1225.01,PC,11.7582,13.896396,748.5332881
150428703,1225.02,PC,11.7582,8.1213102,594.6443745
177115354,1226.01,PC,11.5514,3.9287851,485.9762569
360156606,1227.01,CP,13.802,27.3613778,20690.6684294
300038935,1228.01,CP,9.0963,29.0496801,297.0644469
140760434,1229.01,APC,10.779,31.8132264,11479.375547
290131778,123.01,CP,7.87598,3.3088922,4736.0
287156968,1230.01,CP,9.6245,25.0571312,533.486013
447061717,1231.01,CP,10.2565,24.2454967,6260.6703602
364395234,1232.01,CP,11.7835,14.2545623,7899.6939555
260647166,1233.01,CP,8.6522,14.1758947,907.1324529
260647166,1233.02,CP,8.6522,19.5901578,1182.6678641
260647166,1233.03,CP,8.6522,6.2036219,548.9044399
260647166,1233.04,CP,8.6522,3.79589,317.5272928
90504905,1234.01,FP,13.7991,2.2645386,15019.9420903
103633434,1235.01,CP,9.91924,3.4447015,796.0
120757718,1236.01,KP,11.0248,3.0300715,21794.6136956
120960812,1237.01,KP,10.2768,12.72038,1070.0
120960812,1237.02,KP,10.2768,6.238755,373.5681138
153951307,1238.01,CP,11.2582,3.2947689,1324.0402774
153951307,1238.02,CP,11.2582,0.7645807,394.9832006
154716798,1239.01,CP,10.7192,12.6396982,3292.6812864
29831208,124.01,APC,11.1311,1.8428078,1950.0
287776397,1205.01,PC,8.3902,2.3922703,63.575141
308034948,1206.01,FP,8.6014,0.831542,248.969585
364393429,1207.01,PC,9.2397,2.6282553,75.2858004
273985865,1208.01,PC,10.5924,3.4239436,443.6391381
273985865,1208.02,PC,10.5924,10.983042,725.1724567
273985865,1208.03,PC,10.5924,17.726449,747.7725499
30037565,1209.01,PC,9.597,40.7199388,355.619391
207081058,121.01,APC,9.9358,14.7741056,15041.0
33878688,1210.01,FP,11.1762,79.3739596,1227.0
50312495,1211.01,PC,9.8135,18.1663644,624.0
389924075,1212.01,PC,10.4016,105.5850893,462.9116325
399144800,1213.01,FP,10.6392,27.2149622,4731.4046225
451606970,1214.01,PC,10.0329,19.1807264,544.5602695
453260209,1215.01,PC,10.42,1.2124493,501.2911711
141527965,1216.01,PC,11.546,4.5541831,187.8286128
248092710,1217.01,PC,9.6517,41.4856125,959.7522291
43064903,1276.01,FA,12.5405,6.261169,4005.022808
153949511,1277.01,FA,9.76775,,1405.9675071
153949511,1277.02,PC,9.76775,14.8559691,1127.0
163539739,1278.01,CP,11.7819,14.4751062,9618.5798534
224297258,1279.01,CP,9.99454,9.6141636,933.6532689
391949880,128.01,CP,7.9849,4.9404714,455.0
230017324,1280.01,PC,10.6355,9.6926392,1838.2370548
232971294,1281.01,PC,9.6635,6.390888,435.0
236445129,1282.01,KP,11.4373,0.9689927,13532.9710157
266593143,1283.01,KP,9.7525,10.338505,18162.0
267561446,1284.01,FP,12.5313,1.283251,1961.318203
274662200,1285.01,FP,10.9313,1.2284388,1229.4965125
277507814,1286.01,APC,10.1653,0.6166953,1089.0
352764091,1287.01,PC,8.593,9.6001126,380.4193796
365733349,1288.01,CP,9.93119,2.6998294,2798.0
408203470,1289.01,FP,12.9984,0.581322,3206.6010016
158170594,1240.01,KP,13.8046,1.7208555,10014.2587401
159107668,1241.01,PC,11.1634,4.7802597,1015.4550043
198212955,1242.01,PC,11.598,0.3814849,570.0
219698776,1243.01,CP,11.1966,4.6595169,1725.1706259
219850915,1244.01,CP,11.0157,6.4002807,1026.6018729
229781583,1245.01,PC,12.1819,4.8204512,1930.0
230127302,1246.01,CP,11.1802,18.6548829,1495.4449473
230127302,1246.02,CP,11.1802,4.3074513,1094.8419495
230127302,1246.03,CP,11.1802,5.9041278,773.9266468
230127302,1246.04,CP,11.1802,37.9251983,1370.7888539
232540264,1247.01,CP,8.4724,15.9234883,493.0
232612416,1248.01,CP,11.1153,4.3601536,5592.2909183
232976128,1249.01,CP,10.2108,13.0791581,1143.0
52368076,125.01,CP,10.1985,4.6517186,978.0
52368076,125.02,CP,10.1985,9.1549418,1101.0
52368076,125.03,CP,10.1985,19.9815709,909.0
52368076,125.04,PC,10.1985,,738.7670156
233059608,1250.01,FA,6.895,1.4415044,547.3172736
233120979,1251.01,APC,10.6479,5.9630544,11000.0
233211762,1252.01,PC,12.0623,1.1219715,3997.6445916
233684822,1253.01,FP,9.89947,4.6756655,738.0
236714379,1254.01,APC,10.794,1.0180114,2618.9492168
237222864,1255.01,CP,9.1416,10.288886,854.0
274762761,1256.01,FP,13.5608,1.0332441,26111.5081972
278348461,1257.01,KP,9.87463,5.4526479,7750.0
288132261,1258.01,PC,9.13619,10.2613397,726.0
288735205,1259.01,CP,11.1534,3.4779776,27021.6932424
70440470,126.01,KP,12.7923,3.0354017,16196.2158157
355867695,1260.01,CP,10.8116,3.1274634,1331.83693
355867695,1260.02,CP,10.8116,7.4931613,1650.6470497
355867695,1260.03,CP,10.8116,49.825166,2059.4069037
356311210,1261.01,PC,10.6965,18.0574016,1198.0572128
365938305,1262.01,PC,9.5966,20.8774413,771.0
406672232,1263.01,PC,8.5325,1.0214555,319.0
416195870,1264.01,PC,10.634,2.7441672,5650.0
424865156,1265.01,KP,10.0274,2.2047452,6872.0
467179528,1266.01,CP,11.0402,10.8948421,3168.3853584
467179528,1266.02,CP,11.0402,18.8016111,1686.7881033
158561566,1267.01,KP,11.636,6.7900981,2158.1733568
142394656,1268.01,CP,10.1495,8.157721,10273.0
198241702,1269.01,CP,10.9897,4.2529641,758.584999
198241702,1269.02,PC,10.9897,9.2378703,660.0
234523599,127.01,CP,14.1266,3.7955178,52278.9940979
237200747,1270.01,FP,11.463,14.3034613,48840.0
286923464,1271.01,KP,7.4556,6.1349783,3860.0
417948359,1272.01,CP,11.0244,3.3159772,2770.0
445859771,1273.01,CP,10.418,4.6313014,4860.0
459969957,1274.01,PC,11.8994,19.3203478,13910.0
13499636,1275.01,FA,10.5954,11.3246821,1937.5829721
269701147,1339.02,CP,8.2929,28.580474,1081.396943
269701147,1339.03,CP,8.2929,38.3511223,1029.0917261
234994474,134.01,CP,9.22978,1.4015183,593.7540922
233681149,1340.01,FP,10.8037,8.5874668,1904.8131484
233390838,1341.01,FP,9.53591,6.4474918,9270.0
256621916,1342.01,FP,10.4243,1.4136455,2427.0
358631536,1343.01,FP,10.0062,3.4040139,935.0
1400770435,1344.01,FP,8.88797,13.7432169,5046.0
160487753,1345.01,PC,10.8049,8.47134,540.0
219852882,1346.01,CP,10.7261,5.5025577,844.7022676
219852882,1346.02,CP,10.7261,1.7622537,733.5550822
229747848,1347.01,CP,10.7157,0.8474218,424.3932848
229747848,1347.02,CP,10.7157,4.8420438,318.6638392
229770036,1348.01,FP,10.6666,2.14056,355.8315803
272635712,1349.01,APC,9.34822,12.71672,388.126
267263253,135.01,CP,9.2205,4.1269046,10831.0
233953967,1350.01,PC,10.3589,5.5402372,2710.0
201248411,129.01,CP,9.9005,0.980972,6178.392421
417676622,1290.01,KP,9.50898,5.3987355,352.0
198186769,1291.01,PC,10.8722,7.16199,800.0
199688472,1292.01,FP,9.84566,1.4412175,12927.0
202504234,1293.01,PC,10.8605,1.6849938,990.0
219015370,1294.01,CP,10.9458,3.9152737,3350.0
219852584,1295.01,CP,10.7973,3.1968838,7958.980656
219854185,1296.01,CP,10.8041,3.9443668,6732.488454
229536616,1297.01,FP,10.9873,3.93034,9724.58
237104103,1298.01,CP,10.9585,4.5371361,4199.7558754
258777134,1299.01,FP,10.451,5.929405,16410.0
263003176,130.01,CP,7.4371,14.3392144,392.6346872
293687315,1300.01,KP,9.823,2.8716983,8568.0
356867115,1301.01,CP,10.5216,6.0964074,1142.4891745
356867115,1301.02,PC,10.5216,,2143.3712267
441797803,1302.01,PC,10.6724,5.6666168,9780.0
185405474,1303.01,FP,9.87278,1.56029,1690.0
186000935,1304.01,FP,9.76577,8.8735214,1949.0
232679662,1305.01,FP,10.3018,7.8513774,21571.0
233735068,1306.01,FP,10.0194,7.6869063,4500.0
236815160,1307.01,APC,10.7967,2.534612,5185.2815163
277014266,1308.01,FP,10.6168,1.3797091,1320.0
287190564,1309.01,FP,10.6229,1.49861,2188.61
235037761,131.01,APC,9.8567,6.2407826,6114.0
294179389,1310.01,FP,10.5742,2.6796,7590.0
378159598,1311.01,APC,10.5819,6.1406417,9437.1831553
405904232,1312.01,FP,10.1098,11.0765063,4400.0
11111899,1313.01,FP,9.6996,0.6193401,1853.0
136848581,1314.01,FP,9.90482,2.6400663,1328.0
137284119,1315.01,FP,9.14819,2.5778717,1010.0
15565627,1316.01,FP,10.3332,3.80509,1280.0
165523947,1317.01,FP,10.2918,2.99041,1290.0
167092385,1318.01,PC,10.151,4.9865029,1341.0
167098530,1319.01,FP,9.3213,0.890967,1100.0
89020549,132.01,CP,10.8061,2.1096805,1309.7297126
167403519,1320.01,PC,10.334,3.9729429,4558.0
195199644,1321.01,FP,10.0849,1.19888,1169.03
240450679,1322.01,APC,10.0819,3.37644,5791.2
256886630,1323.01,FP,8.26618,2.03905,430.0
266688542,1324.01,FP,10.1894,2.9424142,1400.0
274942910,1325.01,FP,9.9809,1.0793011,1562.0
275111900,1326.01,FP,8.6746,8.0428575,18730.0
312083267,1327.01,APC,8.38189,3.9392211,1468.0
330332501,1328.01,FP,10.3599,4.0157492,1150.0
345996087,1329.01,FP,10.2835,2.01976,3963.85
219338557,133.01,PC,9.9762,8.1995368,903.3694431
357457104,1330.01,FP,9.521,1.748054,670.0
387664866,1331.01,FP,9.08409,2.65646,773.369
387664868,1332.01,FP,10.8823,2.65688,1959.88
395171208,1333.01,CP,9.03527,4.7201912,6710.0
42123111,1334.01,FP,9.5526,4.03349,1530.0
89759617,1335.01,FP,10.4806,3.3295394,2620.0
92783821,1336.01,FP,10.2115,3.8615978,1020.0
160708862,1337.01,KP,9.8787,3.3448312,13626.0
260128333,1338.01,CP,11.4881,95.174,2600.061605
269701147,1339.01,CP,8.2929,8.8803281,1238.0
328750515,1403.01,FP,10.7387,2.3359622,3066.2492749
352239069,1404.01,PC,10.9425,6.8674054,779.0
352239069,1404.02,PC,10.9425,14.431887,1687.0
387834907,1405.01,FP,8.4239,12.64001,9458.38
231736113,1406.01,CP,11.4266,10.5739824,5460.0
69747919,1407.01,KP,7.7275,9.9783319,179.2248456
364186197,1408.01,CP,8.82374,4.4247042,2447.0
364186197,1408.02,KP,8.82374,2.2222094,87.0
115771549,1409.01,APC,8.3764,4.7182888,3000.0
403224672,141.01,CP,7.384,1.0082361,228.0
199444169,1410.01,CP,10.1917,1.2168732,1240.0
116483514,1411.01,CP,9.1043,1.4520486,393.0
116483734,1412.01,APC,11.0997,4.731977,3470.0
119700084,1413.01,PC,10.1188,6.1182129,1805.1895773
125442121,1414.01,APC,11.029,3.0197807,12016.7483851
148782377,1415.01,PC,8.39816,14.4204896,1061.4991496
158025009,1416.01,CP,9.0739,1.0697621,376.0
1718201850,1351.01,APC,10.3267,5.9294089,14536.0
336740528,1352.01,APC,10.4209,5.2958813,5100.0
279177746,1353.01,FP,10.1503,4.4350025,2085.0
365683032,1354.01,FP,8.78822,1.4287976,1768.0
372264750,1355.01,PC,8.65269,2.1702725,5156.7735359
277566483,1356.01,PC,8.9468,24.2544697,8802.0
357972447,1357.01,FP,10.2193,0.33759,529.0
275501623,1358.01,FP,8.63701,1.67346,390.0
416624606,1359.01,FP,10.2732,2.5152549,1870.0
410153553,136.01,CP,11.9238,0.4629304,4507.3268775
330468175,1360.01,FP,10.0146,0.70902,570.0
277447970,1361.01,PC,10.2202,2.237462,4281.0
395142888,1362.01,PC,9.7736,1.9173816,664.0
230017325,1363.01,FP,10.3843,9.6926509,1393.0
26880783,1364.01,PC,9.2118,1.7753644,878.0
367099243,1365.01,FP,10.4849,1.8286961,7283.0
120602501,1366.01,FP,8.48216,14.8626982,8264.2193919
