Por procesar: 2,011

[82/2011] TIC 54390047 ... ok | sec=34 | vf=0.928 | 0.61s
[83/2011] TIC 294500964 ... ok | sec=34 | vf=0.925 | 0.76s
[84/2011] TIC 416624606 ... ok | sec=55 | vf=0.965 | 0.63s
[85/2011] TIC 150271680 ... ok | sec=2 | vf=0.943 | 0.62s
[86/2011] TIC 120585579 ... ok | sec=2 | vf=0.943 | 0.67s
[87/2011] TIC 260708537 ... ok | sec=2 | vf=0.931 | 0.67s
[88/2011] TIC 132534906 ... ok | sec=61 | vf=0.862 | 0.62s
[89/2011] TIC 179034327 ... ok | sec=5 | vf=0.916 | 0.63s
[90/2011] TIC 142381532 ... ok | sec=21 | vf=0.965 | 0.67s
[91/2011] TIC 54962195 ... ok | sec=62 | vf=0.844 | 0.62s
[92/2011] TIC 54962195 ... ok | sec=62 | vf=0.844 | 0.74s
[93/2011] TIC 54962195 ... ok | sec=62 | vf=0.844 | 0.63s
[94/2011] TIC 195199644 ... ok | sec=76 | vf=0.976 | 0.64s
[95/2011] TIC 88992642 ... ok | sec=40 | vf=0.966 | 0.65s
[96/2011] TIC 392476080 ... ok | sec=79 | vf=0.636 | 0.68s
[97/2011] TIC 20182165 ... ok | sec=24 | vf=0.784 | 0.72s
[98/2011] TIC 131581531 ... ok | sec=88 | vf=0.977 | 0.85s
[99/2011] TIC 445903569 ... ok | sec=63 | vf=0.973 | 1.29s
[100/2011] TIC 232608943 ... ok | sec=40 | vf=0.966 | 1.87s
[101/2011] TIC 232608943 ... ok | sec=40 | vf=0.966 | 1.88s
[102/2011] TIC 9033144 ... ok | sec=2 | vf=0.943 | 1.98s
[103/2011] TIC 92013169 ... ok | sec=33 | vf=0.938 | 2.03s
[104/2011] TIC 305424003 ... ok | sec=39 | vf=0.963 | 1.93s
[105/2011] TIC 364075352 ... ok | sec=40 | vf=0.966 | 1.94s
[106/2011] TIC 387664868 ... no_fits | sec=-1 | vf=0.000 | 1.70s
[107/2011] TIC 287190564 ... ok | sec=41 | vf=0.957 | 1.82s
[108/2011] TIC 158297421 ... ok | sec=13 | vf=0.823 | 2.41s
[109/2011] TIC 60074373 ... ok | sec=88 | vf=0.936 | 1.34s
[110/2011] TIC 261258875 ... ok | sec=34 | vf=0.923 | 0.85s
[111/2011] TIC 360286627 ... ok | sec=37 | vf=0.902 | 0.64s
[112/2011] TIC 238374636 ... ok | sec=34 | vf=0.930 | 0.63s
[113/2011] TIC 99330090 ... ok | sec=48 | vf=0.792 | 0.63s
[114/2011] TIC 298495970 ... ok | sec=53 | vf=0.844 | 0.61s
[115/2011] TIC 248250955 ... ok | sec=39 | vf=0.909 | 0.65s
[116/2011] TIC 154927364 ... ok | sec=40 | vf=0.966 | 0.69s
[117/2011] TIC 271042173 ... ok | sec=54 | vf=0.949 | 0.53s
[118/2011] TIC 31656385 ... ok | sec=30 | vf=0.855 | 0.62s
[119/2011] TIC 151959065 ... ok | sec=9 | vf=0.862 | 0.62s
[120/2011] TIC 440887364 ... ok | sec=38 | vf=0.950 | 0.65s
[121/2011] TIC 440887364 ... ok | sec=38 | vf=0.950 | 0.67s
[122/2011] TIC 34505005 ... ok | sec=63 | vf=0.973 | 0.63s
[123/2011] TIC 142532090 ... ok | sec=87 | vf=0.764 | 0.70s
[124/2011] TIC 107728509 ... ok | sec=39 | vf=0.883 | 0.57s
[125/2011] TIC 106997505 ... ok | sec=34 | vf=0.923 | 0.61s
[126/2011] TIC 66561343 ... ok | sec=33 | vf=0.938 | 0.69s
[127/2011] TIC 377304435 ... ok | sec=40 | vf=0.962 | 0.91s
[128/2011] TIC 417646390 ... ok | sec=53 | vf=0.962 | 0.62s
[129/2011] TIC 464296022 ... ok | sec=90 | vf=0.959 | 0.60s
[130/2011] TIC 52041724 ... ok | sec=25 | vf=0.884 | 0.61s
[131/2011] TIC 144956678 ... ok | sec=34 | vf=0.932 | 0.64s
[132/2011] TIC 79748331 ... ok | sec=13 | vf=0.820 | 0.60s
[133/2011] TIC 79748331 ... ok | sec=13 | vf=0.820 | 0.55s
[134/2011] TIC 162577466 ... ok | sec=52 | vf=0.946 | 0.66s
[135/2011] TIC 402898317 ... ok | sec=17 | vf=0.790 | 0.82s
[136/2011] TIC 137906197 ... ok | sec=21 | vf=0.960 | 0.73s
[137/2011] TIC 417931607 ... ok | sec=21 | vf=0.965 | 0.81s
[138/2011] TIC 305506996 ... ok | sec=82 | vf=0.913 | 1.04s
