Total seleccionados:    1,968
En estado terminal:     5
Por descargar/reintentar: 1,963 (modo: reintenta error/download_failed)

[1/1963] TIC 427348923 (label=0) ... WARNING: File may have been truncated: actual file length (65536) is smaller than the expected size (1589760) [astropy.io.fits.file]
WARNING: File may have been truncated: actual file length (65536) is smaller than the expected size (1589760) [astropy.io.fits.file]
error | 0/2 sec | 0.0 MB | 1.6 s
[254/1963] TIC 332660287 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.5 s
[255/1963] TIC 55525572 (label=1) ... ok | 3/39 sec | 5.4 MB | 5.8 s
[256/1963] TIC 457743020 (label=0) ... ok | 3/3 sec | 6.0 MB | 5.5 s
[257/1963] TIC 255918903 (label=0) ... ok | 1/1 sec | 2.1 MB | 2.3 s
[258/1963] TIC 396562848 (label=1) ... ok | 3/10 sec | 5.5 MB | 6.0 s
[259/1963] TIC 170729775 (label=1) ... ok | 3/3 sec | 8.0 MB | 5.5 s
[260/1963] TIC 18017227 (label=0) ... ok | 1/1 sec | 2.0 MB | 2.1 s
[261/1963] TIC 296739893 (label=1) ... ok | 3/5 sec | 5.5 MB | 5.7 s
[262/1963] TIC 131581522 (label=0) ... ok | 1/1 sec | 1.9 MB | 5.3 s
[263/1963] TIC 22221375 (label=1) ... ok | 3/6 sec | 5.6 MB | 6.1 s
[264/1963] TIC 42015200 (label=0) ... ok | 3/3 sec | 7.9 MB | 6.2 s
[265/1963] TIC 397362481 (label=1) ... ok | 3/5 sec | 6.0 MB | 5.7 s
[266/1963] TIC 134200185 (label=1) ... ok | 3/9 sec | 5.2 MB | 5.2 s
[267/1963] TIC 142277868 (label=1) ... ok | 3/3 sec | 5.9 MB | 7.2 s
[268/1963] TIC 270604417 (label=1) ... ok | 3/4 sec | 5.6 MB | 5.4 s
[269/1963] TIC 149126400 (label=0) ... ok | 3/22 sec | 5.6 MB | 6.0 s
[270/1963] TIC 309787037 (label=0) ... ok | 3/3 sec | 5.5 MB | 5.5 s
[271/1963] TIC 14336130 (label=1) ... ok | 3/4 sec | 5.8 MB | 5.8 s
[272/1963] TIC 236775063 (label=0) ... ok | 3/7 sec | 5.9 MB | 5.4 s
[273/1963] TIC 383531859 (label=0) ... ok | 3/4 sec | 5.8 MB | 5.5 s
[274/1963] TIC 142394656 (label=1) ... ok | 3/8 sec | 5.9 MB | 5.5 s
[275/1963] TIC 23113034 (label=0) ... ok | 2/2 sec | 3.8 MB | 3.8 s
[276/1963] TIC 452866790 (label=1) ... ok | 3/4 sec | 5.5 MB | 5.2 s
[277/1963] TIC 331034236 (label=0) ... ok | 3/5 sec | 6.1 MB | 6.0 s
[278/1963] TIC 134315574 (label=0) ... ok | 1/1 sec | 1.9 MB | 2.0 s
[279/1963] TIC 258557847 (label=0) ... ok | 1/1 sec | 1.9 MB | 2.2 s
[280/1963] TIC 117068362 (label=0) ... ok | 1/1 sec | 1.9 MB | 2.1 s
[281/1963] TIC 95122849 (label=0) ... ok | 3/3 sec | 5.6 MB | 5.5 s
[282/1963] TIC 199444169 (label=1) ... ok | 3/3 sec | 5.7 MB | 5.7 s
[283/1963] TIC 9102327 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.2 s
[284/1963] TIC 269238073 (label=0) ... ok | 3/6 sec | 6.2 MB | 6.0 s
[285/1963] TIC 79748331 (label=1) ... ok | 3/4 sec | 5.9 MB | 0.4 s
[286/1963] TIC 154089169 (label=1) ... ok | 3/10 sec | 5.9 MB | 5.9 s
[287/1963] TIC 196286587 (label=0) ... ok | 2/2 sec | 3.7 MB | 4.0 s
[288/1963] TIC 137543637 (label=0) ... ok | 2/2 sec | 3.9 MB | 3.9 s
[289/1963] TIC 266980320 (label=1) ... ok | 3/4 sec | 5.9 MB | 9.1 s
[290/1963] TIC 364107753 (label=0) ... ok | 3/5 sec | 6.2 MB | 5.5 s
[291/1963] TIC 367099243 (label=0) ... ok | 1/1 sec | 1.8 MB | 2.2 s
[292/1963] TIC 360156606 (label=1) ... ok | 3/7 sec | 6.0 MB | 5.5 s
[293/1963] TIC 368287008 (label=1) ... Warning: 34% (5754/16999) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/3 sec | 5.1 MB | 5.2 s
[294/1963] TIC 13023738 (label=0) ... ok | 1/1 sec | 1.9 MB | 2.2 s
[295/1963] TIC 256621916 (label=0) ... ok | 3/3 sec | 5.8 MB | 5.5 s
[296/1963] TIC 44745077 (label=0) ... ok | 2/2 sec | 3.8 MB | 3.7 s
[297/1963] TIC 419523962 (label=1) ... ok | 3/3 sec | 5.2 MB | 5.5 s
[298/1963] TIC 178709444 (label=1) ... ok | 3/7 sec | 5.6 MB | 5.8 s
[299/1963] TIC 455784423 (label=1) ... ok | 2/2 sec | 4.0 MB | 3.9 s
[300/1963] TIC 150428135 (label=1) ... Warning: 30% (5871/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/37 sec | 5.9 MB | 5.6 s
[301/1963] TIC 159418353 (label=1) ... ok | 3/17 sec | 5.7 MB | 5.7 s
[302/1963] TIC 95660472 (label=1) ... ok | 3/6 sec | 5.6 MB | 6.3 s
[303/1963] TIC 1979500576 (label=0) ... ok | 1/1 sec | 0.0 MB | 8.5 s
[304/1963] TIC 239722954 (label=0) ... ok | 2/2 sec | 3.9 MB | 3.8 s
[305/1963] TIC 154867950 (label=0) ... ok | 3/9 sec | 6.0 MB | 5.6 s
[306/1963] TIC 399967279 (label=1) ... ok | 3/5 sec | 5.5 MB | 5.4 s
[307/1963] TIC 120602501 (label=0) ... ok | 3/3 sec | 5.7 MB | 5.5 s
[308/1963] TIC 267489265 (label=0) ... ok | 3/3 sec | 5.8 MB | 5.5 s
[309/1963] TIC 49710555 (label=0) ... ok | 2/2 sec | 3.8 MB | 3.8 s
[310/1963] TIC 322202434 (label=0) ... ok | 3/5 sec | 5.4 MB | 5.7 s
[311/1963] TIC 403693875 (label=0) ... ok | 3/4 sec | 5.4 MB | 5.8 s
[312/1963] TIC 389999924 (label=0) ... ok | 3/3 sec | 5.9 MB | 6.0 s
[313/1963] TIC 453464017 (label=0) ... ok | 2/2 sec | 3.8 MB | 4.1 s
[314/1963] TIC 270238522 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.5 s
[315/1963] TIC 142087638 (label=0) ... ok | 3/30 sec | 5.6 MB | 6.1 s
[316/1963] TIC 373576942 (label=0) ... ok | 3/5 sec | 6.0 MB | 5.8 s
[317/1963] TIC 242083025 (label=0) ... ok | 3/3 sec | 5.7 MB | 6.0 s
[318/1963] TIC 458419328 (label=1) ... ok | 2/2 sec | 3.9 MB | 4.0 s
[319/1963] TIC 318608749 (label=0) ... ok | 3/4 sec | 5.9 MB | 6.2 s
[320/1963] TIC 239541449 (label=0) ... ok | 2/2 sec | 3.9 MB | 4.2 s
[321/1963] TIC 307734817 (label=0) ... ok | 2/2 sec | 4.0 MB | 4.0 s
[322/1963] TIC 279989567 (label=0) ... ok | 1/1 sec | 2.0 MB | 3.0 s
[323/1963] TIC 464646604 (label=1) ... ok | 3/5 sec | 5.7 MB | 5.6 s
[324/1963] TIC 32283946 (label=0) ... ok | 1/1 sec | 2.0 MB | 2.3 s
[325/1963] TIC 310267134 (label=0) ... ok | 1/1 sec | 1.9 MB | 2.3 s
[326/1963] TIC 99869022 (label=1) ... ok | 3/3 sec | 6.0 MB | 5.8 s
[327/1963] TIC 408618999 (label=1) ... ok | 3/8 sec | 5.5 MB | 6.1 s
[328/1963] TIC 253990973 (label=0) ... ok | 1/1 sec | 2.1 MB | 2.4 s
[329/1963] TIC 279251651 (label=0) ... Warning: 30% (5872/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/32 sec | 5.9 MB | 6.3 s
[330/1963] TIC 384744828 (label=0) ... ok | 1/1 sec | 2.0 MB | 2.3 s
[331/1963] TIC 89876424 (label=0) ... ok | 3/5 sec | 6.0 MB | 13.4 s
[332/1963] TIC 101011575 (label=1) ... ok | 3/4 sec | 5.5 MB | 5.8 s
[333/1963] TIC 51637609 (label=1) ... ok | 1/1 sec | 1.8 MB | 2.2 s
[334/1963] TIC 293527670 (label=0) ... no_data | 0/0 sec | 0.0 MB | 4.0 s
[335/1963] TIC 142748283 (label=1) ... ok | 3/8 sec | 5.9 MB | 6.5 s
[336/1963] TIC 399144800 (label=0) ... ok | 3/6 sec | 5.8 MB | 8.5 s
[337/1963] TIC 87216634 (label=1) ... ok | 1/1 sec | 1.9 MB | 3.4 s
[338/1963] TIC 287139872 (label=1) ... ok | 3/42 sec | 5.7 MB | 8.6 s
[339/1963] TIC 71431780 (label=1) ... ok | 3/5 sec | 5.7 MB | 8.0 s
[340/1963] TIC 130181866 (label=1) ... ok | 3/6 sec | 5.5 MB | 8.0 s
[341/1963] TIC 20892672 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.5 s
[342/1963] TIC 234523599 (label=1) ... ok | 3/8 sec | 5.9 MB | 8.9 s
[343/1963] TIC 141616639 (label=0) ... ok | 2/2 sec | 3.8 MB | 5.7 s
[344/1963] TIC 408549705 (label=0) ... ok | 3/5 sec | 5.8 MB | 7.0 s
[345/1963] TIC 408636441 (label=1) ... ok | 3/10 sec | 5.6 MB | 7.6 s
[346/1963] TIC 120916706 (label=1) ... Warning: 30% (5872/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/3 sec | 8.0 MB | 8.2 s
[347/1963] TIC 329864959 (label=0) ... ok | 3/8 sec | 5.7 MB | 7.5 s
[348/1963] TIC 239372503 (label=0) ... ok | 3/4 sec | 5.9 MB | 7.8 s
[349/1963] TIC 326470400 (label=0) ... ok | 1/1 sec | 2.0 MB | 7.1 s
[350/1963] TIC 329709756 (label=0) ... ok | 3/3 sec | 5.7 MB | 7.4 s
[351/1963] TIC 425997655 (label=1) ... Warning: 30% (5872/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/15 sec | 6.0 MB | 7.6 s
[352/1963] TIC 379929661 (label=1) ... ok | 3/3 sec | 5.8 MB | 7.5 s
[353/1963] TIC 219698776 (label=1) ... ok | 3/7 sec | 6.0 MB | 7.4 s
[354/1963] TIC 401125028 (label=1) ... ok | 3/4 sec | 5.9 MB | 7.6 s
[355/1963] TIC 133505138 (label=0) ... ok | 3/3 sec | 5.8 MB | 7.5 s
[356/1963] TIC 358107516 (label=1) ... ok | 3/18 sec | 5.5 MB | 7.8 s
[357/1963] TIC 369480087 (label=0) ... ok | 3/3 sec | 5.5 MB | 7.5 s
[358/1963] TIC 385624852 (label=0) ... ok | 3/6 sec | 5.5 MB | 7.7 s
[359/1963] TIC 233681149 (label=0) ... ok | 3/37 sec | 5.7 MB | 7.7 s
[360/1963] TIC 232941965 (label=1) ... ok | 1/1 sec | 2.0 MB | 3.2 s
[361/1963] TIC 382302241 (label=0) ... ok | 3/12 sec | 5.5 MB | 7.6 s
[362/1963] TIC 443658196 (label=0) ... ok | 1/1 sec | 1.9 MB | 3.0 s
[363/1963] TIC 267867517 (label=0) ... ok | 1/1 sec | 2.0 MB | 3.0 s
[364/1963] TIC 258804746 (label=1) ... ok | 3/5 sec | 5.5 MB | 7.7 s
[365/1963] TIC 70524163 (label=1) ... ok | 1/1 sec | 4.0 MB | 3.2 s
[366/1963] TIC 366602797 (label=0) ... ok | 2/2 sec | 3.9 MB | 5.4 s
[367/1963] TIC 63898957 (label=1) ... Warning: 30% (5872/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 2/2 sec | 4.0 MB | 0.9 s
[368/1963] TIC 198390247 (label=1) ... ok | 3/39 sec | 5.7 MB | 8.6 s
[369/1963] TIC 279605855 (label=0) ... ok | 3/3 sec | 5.2 MB | 7.7 s
[370/1963] TIC 368536386 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.5 s
[371/1963] TIC 268439377 (label=0) ... ok | 2/2 sec | 4.1 MB | 5.6 s
[372/1963] TIC 155005217 (label=0) ... ok | 3/3 sec | 6.0 MB | 7.7 s
[373/1963] TIC 98796344 (label=1) ... ok | 2/2 sec | 3.8 MB | 4.5 s
[374/1963] TIC 371711170 (label=0) ... ok | 1/1 sec | 1.8 MB | 2.2 s
[375/1963] TIC 322862882 (label=0) ... ok | 1/1 sec | 2.0 MB | 2.3 s
[376/1963] TIC 456305193 (label=0) ... ok | 1/1 sec | 1.9 MB | 2.1 s
[377/1963] TIC 178155732 (label=1) ... ok | 3/4 sec | 5.8 MB | 5.8 s
[378/1963] TIC 410245915 (label=0) ... ok | 2/2 sec | 3.6 MB | 3.8 s
[379/1963] TIC 417948359 (label=1) ... ok | 3/5 sec | 5.7 MB | 5.5 s
[380/1963] TIC 21832928 (label=1) ... Warning: 24% (3964/16779) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/4 sec | 5.5 MB | 5.6 s
[381/1963] TIC 155807906 (label=0) ... ok | 2/2 sec | 3.9 MB | 3.8 s
[382/1963] TIC 69997672 (label=0) ... ok | 3/3 sec | 5.9 MB | 5.5 s
[383/1963] TIC 16005254 (label=1) ... ok | 1/1 sec | 1.9 MB | 2.1 s
[384/1963] TIC 156115721 (label=0) ... ok | 1/1 sec | 1.9 MB | 2.2 s
[385/1963] TIC 335483600 (label=0) ... ok | 3/4 sec | 6.2 MB | 5.6 s
[386/1963] TIC 298074836 (label=1) ... ok | 3/11 sec | 5.8 MB | 6.0 s
[387/1963] TIC 90448944 (label=0) ... ok | 2/2 sec | 3.7 MB | 3.9 s
[388/1963] TIC 317951248 (label=0) ... ok | 1/1 sec | 1.9 MB | 2.2 s
[389/1963] TIC 355636844 (label=0) ... ok | 2/2 sec | 3.8 MB | 3.7 s
[390/1963] TIC 192372961 (label=0) ... ok | 1/1 sec | 2.0 MB | 2.2 s
[391/1963] TIC 188768068 (label=1) ... ok | 3/21 sec | 5.7 MB | 5.6 s
[392/1963] TIC 307377219 (label=0) ... ok | 2/2 sec | 3.8 MB | 4.2 s
[393/1963] TIC 229455001 (label=1) ... ok | 3/38 sec | 5.7 MB | 6.1 s
[394/1963] TIC 291732201 (label=0) ... no_data | 0/0 sec | 0.0 MB | 4.3 s
[395/1963] TIC 237808867 (label=0) ... ok | 1/1 sec | 1.9 MB | 2.2 s
[396/1963] TIC 357416482 (label=0) ... Warning: 34% (5753/16999) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/3 sec | 5.1 MB | 9.2 s
[397/1963] TIC 116257066 (label=0) ... ok | 3/4 sec | 5.4 MB | 5.7 s
[398/1963] TIC 303867090 (label=0) ... ok | 1/1 sec | 2.0 MB | 2.3 s
[399/1963] TIC 239816546 (label=1) ... ok | 3/6 sec | 5.5 MB | 6.0 s
[400/1963] TIC 468977648 (label=0) ... ok | 3/4 sec | 5.9 MB | 9.4 s
[401/1963] TIC 118798035 (label=1) ... no_data | 0/0 sec | 0.0 MB | 4.5 s
[402/1963] TIC 261141602 (label=0) ... ok | 1/1 sec | 1.9 MB | 2.3 s
[403/1963] TIC 110428269 (label=0) ... ok | 3/5 sec | 6.0 MB | 5.5 s
[404/1963] TIC 269333648 (label=1) ... ok | 3/5 sec | 5.7 MB | 5.5 s
[405/1963] TIC 51024887 (label=0) ... ok | 3/3 sec | 5.8 MB | 5.5 s
[406/1963] TIC 151825527 (label=1) ... ok | 3/7 sec | 5.6 MB | 15.5 s
[407/1963] TIC 260476837 (label=0) ... ok | 3/22 sec | 6.1 MB | 11.8 s
[408/1963] TIC 235683377 (label=1) ... ok | 3/43 sec | 5.7 MB | 8.8 s
[409/1963] TIC 352682207 (label=1) ... ok | 3/4 sec | 5.2 MB | 11.9 s
[410/1963] TIC 198153540 (label=1) ... ok | 3/7 sec | 5.8 MB | 10.3 s
[411/1963] TIC 127793615 (label=0) ... ok | 1/1 sec | 1.9 MB | 5.9 s
[412/1963] TIC 36574157 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.5 s
[413/1963] TIC 1167538 (label=1) ... ok | 3/4 sec | 5.7 MB | 9.6 s
[414/1963] TIC 181804752 (label=1) ... ok | 3/5 sec | 5.6 MB | 8.5 s
[415/1963] TIC 440801822 (label=0) ... ok | 3/4 sec | 5.5 MB | 9.7 s
[416/1963] TIC 367102581 (label=0) ... ok | 3/5 sec | 5.7 MB | 9.7 s
[417/1963] TIC 91576611 (label=0) ... no_data | 0/0 sec | 0.0 MB | 4.2 s
[418/1963] TIC 233602827 (label=1) ... ok | 3/37 sec | 5.7 MB | 10.6 s
[419/1963] TIC 321436679 (label=0) ... ok | 2/2 sec | 3.9 MB | 8.6 s
[420/1963] TIC 277103955 (label=0) ... Warning: 30% (5871/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/26 sec | 5.9 MB | 9.3 s
[421/1963] TIC 140830390 (label=0) ... ok | 3/32 sec | 6.1 MB | 10.1 s
[422/1963] TIC 258777137 (label=0) ... ok | 3/40 sec | 5.7 MB | 10.8 s
[423/1963] TIC 318746829 (label=0) ... no_data | 0/0 sec | 0.0 MB | 9.7 s
[424/1963] TIC 404518509 (label=1) ... Warning: 30% (5871/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/5 sec | 5.9 MB | 9.6 s
[425/1963] TIC 73228647 (label=1) ... ok | 3/5 sec | 5.8 MB | 11.9 s
[426/1963] TIC 49705089 (label=1) ... ok | 1/1 sec | 2.0 MB | 8.2 s
[427/1963] TIC 233497719 (label=0) ... ok | 3/25 sec | 5.6 MB | 8.6 s
[428/1963] TIC 65347776 (label=0) ... Warning: 30% (5871/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 2/2 sec | 3.9 MB | 6.1 s
[429/1963] TIC 158241252 (label=1) ... ok | 3/4 sec | 5.7 MB | 9.9 s
[430/1963] TIC 149845414 (label=1) ... ok | 3/4 sec | 5.7 MB | 11.6 s
[431/1963] TIC 199162630 (label=0) ... ok | 3/3 sec | 5.9 MB | 10.4 s
[432/1963] TIC 128501004 (label=0) ... ok | 1/1 sec | 2.0 MB | 3.5 s
[433/1963] TIC 230075120 (label=0) ... ok | 3/20 sec | 6.0 MB | 13.1 s
[434/1963] TIC 459762279 (label=1) ... ok | 1/1 sec | 1.9 MB | 5.9 s
[435/1963] TIC 468828873 (label=0) ... no_data | 0/0 sec | 0.0 MB | 9.7 s
[436/1963] TIC 117256577 (label=0) ... ok | 3/4 sec | 5.8 MB | 10.8 s
[437/1963] TIC 73540072 (label=1) ... Warning: 25% (4561/18126) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 1/1 sec | 1.9 MB | 7.3 s
[438/1963] TIC 449050247 (label=0) ... ok | 1/1 sec | 1.9 MB | 8.7 s
[439/1963] TIC 350153977 (label=1) ... ok | 3/11 sec | 5.9 MB | 11.5 s
[440/1963] TIC 343628284 (label=1) ... ok | 3/7 sec | 5.8 MB | 11.7 s
[441/1963] TIC 67309890 (label=0) ... error | 0/2 sec | 0.0 MB | 5.7 s
[442/1963] TIC 116608612 (label=0) ... ok | 3/5 sec | 5.4 MB | 9.9 s
[443/1963] TIC 151930063 (label=0) ... ok | 2/2 sec | 3.9 MB | 6.3 s
[444/1963] TIC 409459226 (label=0) ... ok | 2/2 sec | 3.8 MB | 6.7 s
[445/1963] TIC 365733349 (label=1) ... ok | 3/13 sec | 5.5 MB | 9.0 s
[446/1963] TIC 82707763 (label=0) ... ok | 1/1 sec | 1.9 MB | 5.0 s
[447/1963] TIC 372172128 (label=1) ... ok | 3/4 sec | 5.7 MB | 7.2 s
[448/1963] TIC 102840239 (label=1) ... ok | 3/5 sec | 5.8 MB | 0.4 s
[449/1963] TIC 295354126 (label=0) ... ok | 1/1 sec | 1.9 MB | 4.7 s
[450/1963] TIC 118798035 (label=1) ... no_data | 0/0 sec | 0.0 MB | 0.0 s
[451/1963] TIC 146463781 (label=0) ... ok | 2/2 sec | 3.6 MB | 6.6 s
[452/1963] TIC 240823272 (label=1) ... ok | 2/2 sec | 3.9 MB | 6.5 s
[453/1963] TIC 186000935 (label=0) ... ok | 2/2 sec | 3.9 MB | 6.4 s
[454/1963] TIC 317507345 (label=0) ... ok | 3/7 sec | 5.6 MB | 10.0 s
[455/1963] TIC 115242351 (label=0) ... ok | 3/3 sec | 5.7 MB | 9.8 s
[456/1963] TIC 271478281 (label=1) ... ok | 3/4 sec | 5.8 MB | 11.0 s
[457/1963] TIC 229747848 (label=1) ... ok | 3/39 sec | 5.7 MB | 9.4 s
[458/1963] TIC 237200747 (label=0) ... ok | 3/42 sec | 5.7 MB | 9.7 s
[459/1963] TIC 207501148 (label=0) ... ok | 3/16 sec | 5.6 MB | 11.3 s
[460/1963] TIC 143526444 (label=0) ... ok | 3/3 sec | 5.5 MB | 9.4 s
[461/1963] TIC 155995204 (label=0) ... ok | 2/2 sec | 3.8 MB | 5.5 s
[462/1963] TIC 49428710 (label=1) ... ok | 3/3 sec | 5.7 MB | 8.9 s
[463/1963] TIC 287139872 (label=1) ... ok | 3/42 sec | 5.7 MB | 0.4 s
[464/1963] TIC 44898913 (label=1) ... ok | 3/4 sec | 5.7 MB | 13.5 s
[465/1963] TIC 77156829 (label=1) ... ok | 3/5 sec | 5.7 MB | 7.8 s
[466/1963] TIC 435167167 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.6 s
[467/1963] TIC 405862830 (label=0) ... no_data | 0/0 sec | 0.0 MB | 4.0 s
[468/1963] TIC 80174172 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.4 s
[469/1963] TIC 441732151 (label=0) ... ok | 3/37 sec | 5.5 MB | 9.7 s
[470/1963] TIC 142937186 (label=1) ... ok | 1/1 sec | 1.9 MB | 5.3 s
[471/1963] TIC 384386061 (label=0) ... ok | 3/4 sec | 6.0 MB | 7.9 s
[472/1963] TIC 372207328 (label=1) ... ok | 3/8 sec | 5.4 MB | 8.7 s
[473/1963] TIC 460984940 (label=1) ... ok | 3/7 sec | 5.8 MB | 6.5 s
[474/1963] TIC 73244652 (label=0) ... ok | 2/2 sec | 3.8 MB | 5.6 s
[475/1963] TIC 278968371 (label=0) ... ok | 1/1 sec | 1.9 MB | 3.9 s
[476/1963] TIC 469436001 (label=0) ... no_data | 0/0 sec | 0.0 MB | 6.6 s
[477/1963] TIC 229650439 (label=1) ... ok | 3/38 sec | 5.7 MB | 6.3 s
[478/1963] TIC 118308828 (label=0) ... ok | 3/5 sec | 5.7 MB | 6.6 s
[479/1963] TIC 100990000 (label=1) ... Warning: 30% (5871/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/5 sec | 5.9 MB | 6.1 s
[480/1963] TIC 459942762 (label=0) ... ok | 2/2 sec | 3.8 MB | 3.9 s
[481/1963] TIC 252636888 (label=0) ... ok | 1/1 sec | 2.1 MB | 2.9 s
[482/1963] TIC 410153553 (label=1) ... ok | 3/8 sec | 5.7 MB | 6.2 s
[483/1963] TIC 175079720 (label=0) ... ok | 1/1 sec | 1.9 MB | 2.4 s
[484/1963] TIC 176956893 (label=1) ... ok | 3/29 sec | 5.5 MB | 5.7 s
[485/1963] TIC 258871793 (label=0) ... ok | 3/27 sec | 5.8 MB | 5.7 s
[486/1963] TIC 318753380 (label=1) ... ok | 1/1 sec | 1.9 MB | 2.2 s
[487/1963] TIC 48103627 (label=1) ... ok | 3/4 sec | 5.5 MB | 5.6 s
[488/1963] TIC 390651552 (label=1) ... Warning: 22% (4001/18126) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 2/2 sec | 3.9 MB | 4.9 s
[489/1963] TIC 293607057 (label=1) ... ok | 3/3 sec | 5.9 MB | 8.7 s
[490/1963] TIC 235684392 (label=0) ... ok | 3/22 sec | 6.0 MB | 8.2 s
[491/1963] TIC 188589164 (label=1) ... ok | 3/3 sec | 5.2 MB | 8.3 s
[492/1963] TIC 90544017 (label=0) ... ok | 1/1 sec | 1.8 MB | 2.6 s
[493/1963] TIC 263203229 (label=0) ... ok | 1/1 sec | 1.9 MB | 3.9 s
[494/1963] TIC 294315741 (label=0) ... ok | 1/1 sec | 2.0 MB | 4.4 s
[495/1963] TIC 394509844 (label=0) ... ok | 2/2 sec | 4.0 MB | 6.1 s
[496/1963] TIC 295413003 (label=0) ... ok | 1/1 sec | 2.0 MB | 4.2 s
[497/1963] TIC 294173437 (label=0) ... ok | 3/4 sec | 6.0 MB | 5.5 s
[498/1963] TIC 259168516 (label=1) ... ok | 3/42 sec | 5.7 MB | 7.3 s
[499/1963] TIC 376353509 (label=1) ... ok | 3/4 sec | 5.7 MB | 6.4 s
[500/1963] TIC 459837008 (label=1) ... ok | 3/12 sec | 5.6 MB | 7.9 s
[501/1963] TIC 52368076 (label=1) ... ok | 3/7 sec | 5.9 MB | 5.8 s
[502/1963] TIC 5772442 (label=0) ... ok | 1/1 sec | 1.9 MB | 2.4 s
[503/1963] TIC 71401634 (label=0) ... no_data | 0/0 sec | 0.0 MB | 22.0 s
[504/1963] TIC 360630575 (label=1) ... ok | 3/3 sec | 5.9 MB | 8.5 s
[505/1963] TIC 233569098 (label=0) ... ok | 3/11 sec | 6.0 MB | 6.8 s
[506/1963] TIC 402848417 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.8 s
[507/1963] TIC 349790953 (label=0) ... Warning: 30% (5877/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/25 sec | 5.9 MB | 6.0 s
[508/1963] TIC 392112968 (label=0) ... ok | 2/2 sec | 4.0 MB | 4.5 s
[509/1963] TIC 150428135 (label=1) ... Warning: 30% (5871/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/37 sec | 5.9 MB | 0.4 s
[510/1963] TIC 467179528 (label=1) ... ok | 3/9 sec | 5.9 MB | 7.5 s
[511/1963] TIC 129107501 (label=0) ... ok | 1/1 sec | 1.8 MB | 2.6 s
[512/1963] TIC 52368076 (label=1) ... ok | 3/7 sec | 5.9 MB | 0.4 s
[513/1963] TIC 308919449 (label=0) ... ok | 3/23 sec | 5.9 MB | 5.8 s
[514/1963] TIC 332558858 (label=1) ... ok | 1/1 sec | 1.9 MB | 3.6 s
[515/1963] TIC 275111900 (label=0) ... ok | 3/5 sec | 6.0 MB | 5.8 s
[516/1963] TIC 445137888 (label=0) ... ok | 1/1 sec | 2.0 MB | 3.6 s
[517/1963] TIC 209459275 (label=1) ... ok | 2/2 sec | 5.8 MB | 4.0 s
[518/1963] TIC 367333043 (label=0) ... no_data | 0/0 sec | 0.0 MB | 4.4 s
[519/1963] TIC 327577308 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.7 s
[520/1963] TIC 374847873 (label=0) ... ok | 1/1 sec | 2.0 MB | 3.0 s
[521/1963] TIC 390157607 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.2 s
[522/1963] TIC 144700903 (label=1) ... ok | 3/4 sec | 5.4 MB | 5.5 s
[523/1963] TIC 12421862 (label=1) ... ok | 3/4 sec | 5.8 MB | 5.3 s
[524/1963] TIC 73649615 (label=1) ... ok | 3/5 sec | 5.8 MB | 6.3 s
[525/1963] TIC 269509393 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.2 s
[526/1963] TIC 28900646 (label=1) ... ok | 3/3 sec | 5.7 MB | 5.5 s
[527/1963] TIC 219466803 (label=0) ... ok | 3/3 sec | 5.9 MB | 6.3 s
[528/1963] TIC 178155732 (label=1) ... ok | 3/4 sec | 5.8 MB | 0.4 s
[529/1963] TIC 462162963 (label=0) ... ok | 1/1 sec | 2.0 MB | 3.7 s
[530/1963] TIC 29781292 (label=1) ... Warning: 30% (5871/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/44 sec | 6.0 MB | 6.2 s
