Total seleccionados:    1,968
En estado terminal:     5
Por descargar/reintentar: 1,963 (modo: reintenta error/download_failed)

[1/1963] TIC 427348923 (label=0) ... WARNING: File may have been truncated: actual file length (65536) is smaller than the expected size (1589760) [astropy.io.fits.file]
WARNING: File may have been truncated: actual file length (65536) is smaller than the expected size (1589760) [astropy.io.fits.file]
error | 0/2 sec | 0.0 MB | 1.6 s
[61/1963] TIC 119081096 (label=0) ... ok | 2/2 sec | 3.6 MB | 6.5 s
[62/1963] TIC 258510872 (label=1) ... ok | 3/20 sec | 5.9 MB | 8.4 s
[63/1963] TIC 177612321 (label=0) ... ok | 1/1 sec | 2.0 MB | 3.4 s
[64/1963] TIC 294599100 (label=0) ... ok | 1/1 sec | 1.9 MB | 2.8 s
[65/1963] TIC 361998994 (label=0) ... ok | 1/1 sec | 1.9 MB | 2.7 s
[66/1963] TIC 146836153 (label=0) ... ok | 1/1 sec | 1.9 MB | 3.1 s
[67/1963] TIC 271169413 (label=1) ... ok | 3/3 sec | 5.9 MB | 6.8 s
[68/1963] TIC 95129101 (label=0) ... ok | 3/6 sec | 5.6 MB | 10.4 s
[69/1963] TIC 321857016 (label=1) ... ok | 3/10 sec | 5.8 MB | 8.2 s
[70/1963] TIC 340700241 (label=0) ... ok | 3/8 sec | 5.7 MB | 7.7 s
[71/1963] TIC 268301217 (label=1) ... ok | 3/7 sec | 5.5 MB | 9.3 s
[72/1963] TIC 28643432 (label=0) ... ok | 3/3 sec | 5.8 MB | 11.7 s
[73/1963] TIC 55652896 (label=1) ... Warning: 30% (5871/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/43 sec | 6.0 MB | 11.9 s
[74/1963] TIC 332534326 (label=1) ... no_data | 0/0 sec | 0.0 MB | 3.1 s
[75/1963] TIC 175180796 (label=0) ... ok | 3/3 sec | 5.5 MB | 8.0 s
[76/1963] TIC 384549882 (label=0) ... ok | 2/2 sec | 3.7 MB | 6.1 s
[77/1963] TIC 323658120 (label=0) ... ok | 1/1 sec | 1.9 MB | 3.2 s
[78/1963] TIC 300812741 (label=1) ... ok | 3/29 sec | 5.5 MB | 12.9 s
[79/1963] TIC 348755723 (label=0) ... ok | 2/2 sec | 3.6 MB | 9.2 s
[80/1963] TIC 85293053 (label=1) ... ok | 2/2 sec | 4.0 MB | 6.1 s
[81/1963] TIC 33595516 (label=1) ... ok | 1/1 sec | 4.0 MB | 2.9 s
[82/1963] TIC 232608943 (label=1) ... ok | 3/26 sec | 6.0 MB | 7.5 s
[83/1963] TIC 54390047 (label=0) ... ok | 1/1 sec | 1.9 MB | 2.6 s
[84/1963] TIC 294500964 (label=0) ... ok | 3/8 sec | 5.5 MB | 7.3 s
[85/1963] TIC 416624606 (label=0) ... ok | 1/1 sec | 2.0 MB | 2.9 s
[86/1963] TIC 150271680 (label=0) ... Warning: 30% (5871/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/31 sec | 6.0 MB | 7.2 s
[87/1963] TIC 120585579 (label=0) ... ok | 2/2 sec | 3.9 MB | 4.7 s
[88/1963] TIC 260708537 (label=1) ... Warning: 30% (5871/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/44 sec | 6.0 MB | 8.3 s
